==ID: 0{'N0': 0.10825207262384626, 'Nmax': -777.2442227468191, 'rmax': 0.00013664053212447937}-133.64662411819816
==ID: 106{'N0': 0.006398248742087341, 'Nmax': -139.62577647410157, 'rmax': -0.001256899879240679}-333.36026086309005

==ID: 107{'N0': 0.009439732381946574, 'Nmax': 0.5159556729275052, 'rmax': 0.16958632640986857}-98.51339646861825

==ID: 108{'N0': 0.007370792899376613, 'Nmax': 0.6608634103927884, 'rmax': 0.49916685469799893}-68.73602538566954

==ID: 109{'N0': 0.0015559210309483884, 'Nmax': 0.6708323759828755, 'rmax': 1.4572405051046462}-60.28592119819707

==ID: 110{'N0': 0.009606306298086353, 'Nmax': 472.20594080075585, 'rmax': -0.0003037038076947816}-327.24474643491317

fffffffffff==ID: 111{'N0': 0.009606306298086353, 'Nmax': 472.20594080075585, 'rmax': -0.0003037038076947816}-327.24474643491317

==ID: 112{'N0': 0.06377233038580897, 'Nmax': 0.9524614022558561, 'rmax': 0.03602605683980844}-126.82092324825797

==ID: 113{'N0': 0.029335650282397964, 'Nmax': 0.9246519693691785, 'rmax': 0.6978652924344396}-110.87272291723761

==ID: 114{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

fffffffffff==ID: 115{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

fffffffffff==ID: 116{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

fffffffffff==ID: 117{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

fffffffffff==ID: 118{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

fffffffffff==ID: 119{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

fffffffffff==ID: 120{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

fffffffffff==ID: 121{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

fffffffffff==ID: 122{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

fffffffffff==ID: 123{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

fffffffffff==ID: 124{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

fffffffffff==ID: 125{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

fffffffffff==ID: 126{'N0': 0.036270150247653586, 'Nmax': 0.5666598263014014, 'rmax': 0.040234118000331096}-262.8661310803818

==ID: 127{'N0': 0.027521516133610566, 'Nmax': 0.8417223218337808, 'rmax': 0.6471746711411854}-127.20027369831845

==ID: 128{'N0': 0.02566310122613419, 'Nmax': 0.8906694756408645, 'rmax': 1.288499099759668}-146.9771648387425

==ID: 129{'N0': 0.008227248061511105, 'Nmax': 1.1951064565558864, 'rmax': 1.7640387958652648e-05}-329.29336093228335

==ID: 130{'N0': 0.05113312076316607, 'Nmax': 0.8048732315323474, 'rmax': 0.2975044988773184}-225.71972328120802

==ID: 131{'N0': 0.017859649374712034, 'Nmax': 0.9118561973803824, 'rmax': 0.8072846525639102}-120.73320269454842

==ID: 132{'N0': 0.01878468819720571, 'Nmax': 0.9204617265787655, 'rmax': 1.6726756485066863}-161.76542280564274

==ID: 133{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

